08-17 11:59:32.359 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
08-17 11:59:32.369 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
08-17 11:59:32.370 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
08-17 11:59:32.370 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
08-17 11:59:32.421 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
08-17 11:59:32.422 INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 897 ms
08-17 11:59:32.557 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
08-17 11:59:32.668 INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
08-17 11:59:32.699 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
08-17 11:59:32.717 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
08-17 11:59:32.720 INFO  com.zhaouri.applelogin.DemoApplication - Started DemoApplication in 1.687 seconds (JVM running for 2.404)
08-17 11:59:35.697 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
08-17 11:59:35.698 INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
08-17 11:59:35.705 INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 6 ms
08-17 12:00:03.093 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
08-17 12:00:06.166 INFO  com.zhaouri.applelogin.DemoApplication - Starting DemoApplication on lifevcs-MacBook-Pro.local with PID 64944 (/Users/lifevc/Desktop/AppleLogin-java/applelogin/target/classes started by lifevc in /Users/lifevc/Desktop/AppleLogin-java/applelogin)
08-17 12:00:06.167 INFO  com.zhaouri.applelogin.DemoApplication - No active profile set, falling back to default profiles: default
08-17 12:00:06.229 INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in /Users/lifevc/.m2/repository/com/sun/xml/bind/jaxb-impl/2.3.0/jaxb-impl-2.3.0.jar referenced one or more files that do not exist: file:/Users/lifevc/.m2/repository/com/sun/xml/bind/jaxb-impl/2.3.0/jaxb-core.jar
