08-14 10:10:37.170 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
08-14 10:10:37.170 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
08-14 10:10:37.918 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
08-14 10:10:37.929 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
08-14 10:10:37.930 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
08-14 10:10:37.930 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
08-14 10:10:37.989 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
08-14 10:10:37.990 INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 819 ms
08-14 10:10:38.128 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
08-14 10:10:38.247 INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
08-14 10:10:38.279 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
08-14 10:10:38.299 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
08-14 10:10:38.302 INFO  com.zhaouri.applelogin.DemoApplication - Started DemoApplication in 1.552 seconds (JVM running for 2.122)
08-14 10:10:46.982 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
08-14 10:10:46.983 INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
08-14 10:10:46.989 INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 6 ms
08-14 10:11:11.742 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
08-14 10:11:58.842 INFO  com.zhaouri.applelogin.DemoApplication - Starting DemoApplication on lifevcs-MacBook-Pro.local with PID 13074 (/Users/lifevc/Desktop/AppleLogin-java/applelogin/target/classes started by lifevc in /Users/lifevc/Desktop/AppleLogin-java/applelogin)
08-14 10:11:58.843 INFO  com.zhaouri.applelogin.DemoApplication - No active profile set, falling back to default profiles: default
08-14 10:11:58.885 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
08-14 10:11:58.886 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
08-14 10:11:59.649 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
08-14 10:11:59.657 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
08-14 10:11:59.658 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
08-14 10:11:59.658 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
08-14 10:11:59.713 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
08-14 10:11:59.714 INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 828 ms
08-14 10:11:59.857 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
08-14 10:11:59.973 INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
08-14 10:12:00.006 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
